spf_fail,dkim_fail,dmarc_fail,has_suspicious_url,has_dangerous_attachment,subject_length,body_length,label
1,0,1,1,1,69,4411,1
0,0,0,1,1,34,3395,0
1,0,1,1,0,68,354,1
0,0,0,0,0,19,2386,0
0,0,1,1,0,102,2724,1
0,1,1,1,1,91,601,1
1,1,0,0,0,59,919,0
1,1,0,1,1,63,3267,1
0,1,0,0,0,12,877,0
0,1,1,1,1,96,4789,1
1,1,0,1,0,32,2405,1
1,1,0,1,0,61,2036,1
1,0,1,0,0,97,1335,0
1,0,1,1,1,53,4424,1
0,0,0,0,0,61,3052,0
1,1,1,1,1,93,293,1
1,0,1,1,1,79,442,1
0,0,0,0,0,27,2331,0
1,0,0,1,1,31,1172,1
1,0,0,1,0,54,4017,1
1,0,0,0,1,45,776,1
0,1,1,0,0,89,3533,0
0,1,0,0,1,98,1586,1
0,1,1,0,0,38,781,0
0,0,0,1,1,93,2927,0
1,1,0,1,0,59,3982,1
1,1,0,1,1,14,2337,1
0,0,1,0,0,66,652,0
1,0,0,0,1,6,3599,1
0,0,1,0,0,90,2721,0
1,0,0,1,0,113,2950,1
1,0,0,1,0,12,3579,1
1,1,0,0,0,60,240,0
0,0,1,1,1,45,774,1
0,0,1,1,0,90,3308,1
1,0,0,0,0,64,2194,0
0,1,1,1,0,67,2441,1
1,0,0,1,0,75,2123,1
0,0,1,0,0,99,4175,0
1,0,1,0,0,84,317,0
0,0,0,0,1,92,1322,0
0,1,0,0,1,78,4835,1
0,0,1,1,0,39,4647,1
0,1,0,1,0,39,802,1
0,0,0,1,1,117,2787,0
0,1,0,0,1,82,2712,1
1,1,1,1,0,31,2385,1
1,0,0,0,1,53,4358,1
1,1,1,0,0,87,4104,0
0,0,1,1,0,60,3587,1
0,0,0,1,0,38,72,0
0,0,1,0,0,68,4851,0
1,0,0,1,1,86,3920,1
1,0,1,1,0,71,1573,1
0,1,1,1,1,43,4873,1
0,1,1,1,0,54,952,1
1,1,0,1,0,23,2201,1
0,0,1,1,0,22,2739,1
0,0,1,1,0,46,1694,1
1,1,0,1,0,26,2325,1
1,1,0,1,0,72,2158,1
0,0,1,1,1,13,3056,1
1,0,1,0,0,57,1972,0
0,0,1,0,1,6,4002,1
0,1,1,0,0,120,3599,0
1,1,1,1,1,22,823,1
1,1,1,0,1,47,2471,1
1,1,0,0,1,64,1884,1
0,0,0,0,0,48,4381,0
0,0,0,1,0,60,1822,0
0,0,0,0,0,56,801,0
1,1,0,0,1,93,412,1
1,0,1,0,1,20,1346,1
0,0,1,0,0,32,2443,0
1,1,1,1,0,11,3935,1
0,1,0,1,1,61,423,1
0,0,1,1,1,97,2918,1
0,0,0,1,1,68,4928,0
1,1,0,1,1,24,2668,1
1,1,0,1,0,47,2405,1
1,0,0,0,1,92,1235,1
1,0,0,1,1,29,1178,1
0,1,0,1,1,16,369,1
1,0,1,0,1,54,3817,1
0,0,0,0,0,118,4323,0
1,1,1,0,1,81,1329,1
1,0,0,1,1,31,2062,1
1,1,1,1,1,28,2055,1
0,1,1,0,0,83,779,0
0,1,1,1,0,64,1840,1
1,0,0,0,1,103,1571,1
1,1,1,1,1,23,2127,1
1,0,1,0,0,12,2433,0
0,0,1,0,1,99,2345,1
1,0,0,0,1,91,1922,1
1,1,1,0,0,9,3506,0
1,1,0,0,0,94,2779,0
0,0,0,0,1,95,4812,0
1,1,0,0,1,80,3539,1
0,0,1,0,0,50,4809,0
0,1,0,0,0,29,595,0
0,1,1,0,1,50,4903,1
0,1,1,1,1,14,2836,1
0,1,0,1,1,105,752,1
0,0,0,1,0,119,3919,0
1,1,0,0,1,69,1038,1
0,1,0,0,0,80,2893,0
0,1,0,0,1,88,1713,1
0,1,0,1,1,114,172,1
1,1,0,1,1,103,3929,1
1,1,0,1,0,13,3576,1
1,1,0,0,1,43,2913,1
0,0,1,1,0,46,4258,1
1,1,0,1,1,66,2589,1
0,1,0,0,1,24,4453,1
1,0,1,0,0,47,398,0
1,1,1,0,1,57,3558,1
1,1,0,1,1,90,3190,1
0,0,1,0,1,117,4056,1
0,0,1,0,0,103,714,0
0,0,1,0,1,103,3150,1
1,1,0,1,1,34,2570,1
1,1,0,1,0,105,4134,1
0,1,0,0,0,101,1695,0
0,0,1,1,0,119,3175,1
0,0,1,1,1,90,1522,1
1,0,1,0,0,47,1602,0
0,0,1,1,1,47,1811,1
0,0,1,1,0,90,1414,1
0,1,1,1,1,32,2912,1
0,0,0,1,0,21,775,0
0,0,0,0,0,66,2664,0
0,0,0,1,0,85,3854,0
1,0,0,1,1,104,2843,1
0,1,1,0,1,108,2662,1
1,1,1,0,1,82,4392,1
1,1,0,0,0,106,1446,0
1,1,1,0,1,56,3724,1
0,1,0,0,0,118,4987,0
0,1,1,1,0,83,4038,1
0,0,1,0,0,120,4237,0
1,0,0,1,0,60,1099,1
1,1,1,1,1,72,3850,1
0,1,0,1,0,5,1934,1
0,1,1,0,1,74,4357,1
1,1,1,0,1,109,810,1
0,1,1,0,0,60,3192,0
0,1,1,1,1,52,267,1
0,0,0,0,0,43,3321,0
1,0,0,0,1,5,789,1
1,1,0,1,0,13,4630,1
1,1,0,1,1,87,1267,1
1,0,0,0,1,37,721,1
0,0,1,1,1,45,3035,1
1,0,1,1,0,65,906,1
1,0,1,1,1,20,1029,1
0,0,0,1,1,101,3820,0
0,0,0,0,1,119,1543,0
0,0,0,0,0,120,1299,0
1,0,1,1,0,75,3452,1
1,0,1,1,1,41,1412,1
1,0,1,1,0,62,4866,1
1,0,0,0,1,113,2136,1
1,0,0,1,1,57,1122,1
1,0,1,1,1,65,2466,1
0,1,1,0,0,93,577,0
0,0,0,0,1,107,4209,0
1,1,1,1,0,108,3311,1
1,1,0,1,1,6,3764,1
0,0,0,1,0,49,870,0
1,1,1,0,0,51,4770,0
1,0,1,0,0,23,4253,0
1,1,0,1,0,16,4389,1
0,1,1,0,1,49,1068,1
0,0,1,0,0,16,2756,0
1,0,0,0,0,80,1980,0
1,1,1,0,0,41,1220,0
1,0,0,1,0,6,287,1
0,1,1,0,0,50,281,0
1,1,0,0,0,114,4849,0
0,1,1,1,0,119,1289,1
0,1,1,0,0,82,972,0
1,1,1,1,1,24,4256,1
1,0,1,1,0,11,1753,1
1,0,0,0,1,29,849,1
0,1,0,0,1,63,3489,1
0,0,0,0,0,62,1247,0
0,0,0,0,1,16,368,0
1,1,1,1,1,20,1054,1
1,1,0,0,1,106,2301,1
1,1,0,0,1,71,1600,1
1,1,0,1,0,96,2445,1
0,0,1,1,0,120,2743,1
0,0,1,1,0,18,4083,1
1,0,1,1,0,66,1250,1
0,0,1,0,1,89,3666,1
1,0,0,0,0,58,4498,0
0,0,1,0,0,59,1547,0
1,0,1,0,1,85,1953,1
0,1,1,0,1,67,1434,1
0,1,0,1,1,114,2011,1
1,1,1,0,1,60,3496,1
1,1,0,0,1,96,423,1
0,1,1,0,1,116,855,1
0,0,1,1,1,44,3682,1
1,1,0,0,0,105,4895,0
1,0,0,1,0,45,2511,1
1,1,1,0,0,89,1060,0
1,0,1,0,0,18,2201,0
0,0,1,1,1,83,961,1
1,1,0,0,0,53,2949,0
1,1,1,0,0,52,4976,0
0,1,0,0,0,42,2734,0
1,1,0,0,0,96,2796,0
1,1,0,1,0,41,2172,1
1,1,1,0,1,112,1554,1
1,0,0,1,0,40,3726,1
1,0,1,1,0,10,785,1
0,1,0,0,0,88,1699,0
0,1,1,0,1,15,2418,1
0,0,1,1,1,78,2525,1
1,0,1,0,0,83,1661,0
0,1,1,1,0,18,1256,1
1,0,1,0,1,72,896,1
0,0,1,0,1,47,692,1
0,1,1,1,0,104,4929,1
1,0,0,1,1,90,4389,1
0,0,0,1,1,106,3369,0
0,1,1,0,0,108,3702,0
1,1,1,0,1,97,3798,1
1,0,0,0,1,104,2018,1
0,0,1,0,1,20,1350,1
0,1,0,0,0,50,2349,0
0,0,1,0,1,6,146,1
0,0,0,1,1,36,4217,0
1,0,1,1,0,38,196,1
0,1,1,0,0,29,1823,0
0,0,0,1,1,49,2288,0
0,0,1,1,0,119,3527,1
1,1,1,0,1,67,258,1
1,1,0,0,1,114,414,1
1,1,1,0,1,56,3217,1
1,1,0,1,1,34,380,1
1,1,1,1,0,120,1407,1
1,1,1,1,1,58,3134,1
0,0,0,1,1,70,579,0
1,0,0,1,0,55,1262,1
1,0,0,1,0,101,2576,1
1,1,0,1,0,75,4563,1
1,1,1,0,0,34,3529,0
1,1,1,0,1,88,4100,1
1,0,0,0,0,66,2981,0
1,1,1,1,0,16,2607,1
0,1,1,0,0,119,1783,0
0,0,0,1,0,16,4346,0
1,0,1,0,0,103,396,0
0,0,1,1,1,60,3693,1
1,0,1,1,1,55,98,1
0,0,0,0,0,61,3475,0
0,1,1,0,0,87,2694,0
1,0,0,1,1,120,3361,1
0,1,1,0,0,47,4094,0
0,1,0,0,1,109,1918,1
0,0,0,1,0,34,3276,0
1,0,0,1,0,11,3845,1
0,1,1,0,0,110,4681,0
1,1,1,0,1,89,541,1
1,0,0,1,1,81,4067,1
0,0,1,1,0,71,497,1
1,0,1,0,0,76,3580,0
1,0,1,0,1,21,3383,1
0,0,0,0,0,69,1946,0
1,0,1,1,1,38,4840,1
1,0,0,1,1,56,979,1
1,1,0,0,0,72,2829,0
0,1,1,1,1,61,2903,1
0,1,1,1,0,119,4960,1
0,0,1,0,0,44,3154,0
1,0,0,0,0,69,1720,0
0,1,0,1,0,96,891,1
0,1,0,0,1,53,1771,1
0,1,0,0,0,26,153,0
0,1,0,1,0,29,4942,1
1,1,1,1,1,18,775,1
0,1,0,0,1,57,1671,1
0,1,1,1,0,12,3909,1
0,0,1,0,0,110,1122,0
1,0,0,1,0,105,3569,1
1,0,0,1,1,90,4568,1
0,1,1,1,0,37,4005,1
1,1,1,1,1,119,653,1
1,0,0,1,1,113,2772,1
1,0,0,0,0,104,3638,0
0,0,0,1,0,25,3906,0
0,1,1,0,0,118,2811,0
0,1,1,1,1,38,1945,1
1,1,1,1,1,23,688,1
0,0,0,1,1,109,3784,0
0,1,1,1,0,81,1251,1
0,1,0,0,1,53,2212,1
1,1,1,1,1,60,1001,1
1,1,0,1,0,107,4421,1
0,1,1,0,1,96,2422,1
1,0,0,1,1,26,1421,1
1,1,1,0,0,31,2658,0
1,0,0,1,1,97,3161,1
0,1,0,1,0,84,1923,1
0,1,1,0,1,15,355,1
0,1,1,0,0,64,4481,0
0,0,1,1,1,42,3924,1
0,0,1,0,1,49,3734,1
1,1,0,1,0,52,3354,1
0,0,0,1,0,30,3575,0
0,0,1,1,1,13,3188,1
1,0,1,0,0,71,4565,0
1,0,0,0,1,82,3708,1
0,0,0,1,1,33,917,0
0,0,0,0,0,116,4860,0
1,0,0,1,1,36,861,1
1,1,1,0,0,115,1099,0
0,1,0,1,0,39,880,1
1,0,1,0,0,107,2906,0
0,1,1,0,1,42,3983,1
0,0,0,0,1,33,2663,0
1,1,0,0,0,102,2047,0
0,0,1,0,1,95,1473,1
0,1,0,1,1,79,4374,1
1,1,1,0,1,115,4384,1
0,1,1,1,0,18,4463,1
0,1,0,0,1,74,4057,1
0,0,0,0,1,75,1346,0
0,1,1,1,1,111,349,1
0,1,1,1,0,20,1933,1
1,1,0,1,0,80,4742,1
0,0,0,0,1,70,4340,0
0,1,0,0,0,32,3338,0
1,0,0,1,0,72,4512,1
0,1,1,1,1,41,1899,1
1,1,1,0,1,24,891,1
1,1,0,0,1,101,2999,1
0,0,1,1,0,106,163,1
0,1,1,1,0,88,2697,1
1,1,1,0,0,65,4944,0
1,1,1,1,1,23,1141,1
1,0,0,1,0,68,2729,1
0,1,1,1,1,42,3638,1
1,0,0,0,1,118,1140,1
0,1,1,0,0,10,4315,0
1,1,0,0,1,27,3929,1
1,0,1,1,0,100,3329,1
0,1,0,1,0,120,535,1
1,0,0,1,1,54,1331,1
1,0,1,0,1,36,585,1
0,1,0,1,1,16,1262,1
0,1,1,0,0,111,1677,0
1,1,1,0,1,17,1192,1
0,1,1,1,0,15,3488,1
1,0,1,1,0,20,1571,1
0,0,1,1,1,120,2951,1
0,1,1,0,0,65,3706,0
0,1,1,1,1,64,1493,1
1,0,1,0,0,67,1146,0
0,0,0,1,0,92,4615,0
1,1,1,1,1,40,4282,1
0,0,0,1,1,46,3732,0
0,1,0,0,0,54,4257,0
0,0,0,1,0,23,2598,0
0,1,0,1,1,40,1791,1
0,1,1,1,1,77,4434,1
1,1,1,1,1,63,4870,1
0,0,1,1,0,37,4438,1
1,1,1,0,1,47,4050,1
0,1,0,1,0,28,4562,1
1,1,0,0,0,113,4192,0
1,1,1,0,0,83,586,0
0,0,1,1,1,26,2157,1
1,1,0,0,1,119,4382,1
1,0,0,0,0,19,151,0
0,1,1,1,1,11,2689,1
1,1,1,0,0,18,520,0
0,1,1,1,1,107,1284,1
1,0,1,0,0,41,1602,0
0,0,0,1,0,69,3529,0
1,1,1,1,0,54,2758,1
0,1,0,0,0,101,1630,0
0,1,1,1,0,16,3103,1
0,0,1,1,1,56,2029,1
0,1,1,1,1,110,4537,1
1,0,1,0,0,58,385,0
1,1,0,1,0,61,566,1
0,0,0,1,1,85,3011,0
0,1,0,1,1,84,2911,1
1,1,1,0,1,24,2996,1
0,0,1,1,0,40,4188,1
1,0,1,1,0,58,4887,1
0,0,1,1,1,9,879,1
1,1,0,0,1,72,3303,1
0,0,0,0,1,11,3522,0
1,1,1,1,0,103,910,1
0,0,1,0,1,89,629,1
1,1,1,1,0,64,993,1
1,0,1,1,0,46,4188,1
1,1,1,1,0,104,4285,1
1,1,0,1,0,82,4397,1
0,1,0,0,0,60,4614,0
0,1,0,1,1,38,4414,1
1,1,0,1,1,43,3622,1
1,1,0,1,0,40,3804,1
1,0,1,0,0,72,331,0
1,0,1,0,0,88,4366,0
0,0,1,1,0,46,2961,1
0,0,0,1,0,66,2139,0
1,0,0,1,0,88,4544,1
0,1,1,0,0,67,2489,0
1,1,0,0,1,10,2083,1
1,1,1,1,0,113,2713,1
0,1,0,1,1,11,3932,1
0,0,0,0,1,84,2539,0
1,1,0,1,0,21,1653,1
0,1,0,1,1,108,3502,1
1,0,0,0,0,27,4703,0
1,1,0,1,0,19,956,1
1,0,0,1,1,73,1706,1
1,1,1,0,1,57,935,1
1,0,0,1,1,35,889,1
1,1,0,0,1,66,882,1
0,1,0,0,1,96,2383,1
0,0,0,0,0,114,1880,0
0,0,0,1,0,18,4231,0
1,0,1,1,0,106,3949,1
1,1,1,1,0,31,3074,1
0,0,1,0,0,37,3017,0
0,0,1,1,1,108,133,1
0,0,1,0,0,115,3579,0
0,1,0,0,0,86,3683,0
1,0,0,1,1,111,2603,1
1,1,1,0,0,10,4093,0
1,1,0,0,1,58,4359,1
1,0,0,1,0,42,3957,1
0,0,0,1,1,11,3127,0
0,1,0,0,0,111,3833,0
0,1,1,1,1,102,4862,1
1,0,1,0,1,92,4083,1
0,1,0,0,1,54,2443,1
0,1,1,1,0,81,4505,1
0,0,1,1,0,55,552,1
0,0,0,0,0,11,2007,0
0,1,1,1,1,61,3949,1
0,0,1,1,1,101,2934,1
0,1,0,1,0,45,2540,1
0,1,0,0,1,52,3753,1
1,1,0,1,1,72,1663,1
0,0,1,0,1,84,662,1
1,0,1,0,0,10,4745,0
0,0,1,0,1,90,3138,1
0,0,0,0,1,45,769,0
1,0,0,0,0,40,1672,0
0,0,0,0,1,102,4721,0
1,1,0,0,1,66,1437,1
1,0,1,1,0,40,2161,1
0,0,0,0,0,46,1932,0
1,1,1,1,1,23,3488,1
0,0,1,1,0,22,896,1
1,0,1,0,0,66,1650,0
1,0,1,0,1,85,1626,1
1,0,0,1,1,66,307,1
0,0,0,1,0,45,4754,0
1,0,0,1,1,112,2748,1
1,1,0,1,0,58,1342,1
0,1,1,1,1,32,1226,1
0,0,1,1,1,113,3892,1
1,1,0,0,0,80,3428,0
0,1,1,0,1,35,3938,1
0,0,1,0,1,57,376,1
0,1,1,0,0,61,4619,0
0,1,1,0,0,35,4089,0
1,1,0,1,0,11,3725,1
0,1,0,0,1,68,4112,1
1,0,1,1,1,105,3539,1
1,0,0,1,0,88,3518,1
1,0,1,0,1,18,4898,1
1,0,1,0,0,8,2800,0
0,0,0,0,0,91,1512,0
0,0,1,0,1,84,4061,1
0,1,0,1,1,29,2502,1
0,1,0,0,1,63,1296,1
0,0,1,0,1,71,77,1
0,0,1,1,1,30,708,1
1,0,1,0,1,48,4806,1
0,0,0,0,1,5,2038,0
0,0,0,0,0,99,605,0
1,1,0,1,1,86,2753,1
1,1,1,0,1,73,2537,1
1,0,1,1,0,68,1087,1
0,0,1,1,0,75,4274,1
1,0,0,0,0,72,2708,0
1,0,0,0,1,100,118,1
0,0,0,0,1,5,2084,0
1,0,0,0,1,77,394,1
0,0,0,1,1,108,3456,0
1,0,1,1,1,107,4812,1
0,0,1,0,0,91,734,0
0,1,1,1,0,89,2912,1
0,1,0,1,0,42,3545,1
0,1,0,1,0,99,3782,1
0,0,0,1,1,7,4983,0
0,0,0,1,1,107,3497,0
1,1,1,1,0,108,2748,1
0,1,1,1,1,90,1664,1
1,0,0,1,0,36,1043,1
0,1,1,0,1,35,3005,1
0,1,0,0,1,23,1686,1
1,0,0,0,0,11,649,0
0,0,0,1,0,106,1372,0
1,0,0,0,1,72,1103,1
1,0,1,1,0,96,3176,1
1,0,1,1,0,21,4410,1
0,1,0,1,1,78,2880,1
0,0,1,0,1,6,4704,1
0,0,0,1,1,69,1800,0
1,1,0,1,0,115,100,1
0,0,1,0,1,38,2775,1
0,0,0,1,0,50,319,0
1,1,0,1,1,29,1169,1
1,0,0,1,0,116,835,1
0,1,0,1,0,84,389,1
0,0,1,0,0,65,4328,0
1,1,0,0,0,57,4830,0
1,1,1,0,0,73,2238,0
1,0,1,1,1,18,4153,1
0,1,0,1,0,94,4627,1
1,1,1,0,1,89,3642,1
1,0,1,1,0,82,2337,1
0,0,0,1,0,73,477,0
1,1,0,0,1,115,1666,1
1,1,0,1,0,83,4307,1
1,0,1,0,1,113,1627,1
0,1,1,0,1,67,1207,1
0,0,0,1,1,55,4138,0
1,0,1,0,0,45,2900,0
1,0,1,0,0,55,1572,0
0,0,1,1,0,99,2421,1
1,0,0,1,1,39,3885,1
0,1,1,1,1,23,2250,1
0,1,0,0,1,24,2010,1
1,1,0,0,1,8,4075,1
1,1,1,1,1,27,1817,1
0,0,0,1,1,26,302,0
0,1,1,1,1,102,2693,1
0,0,0,0,0,79,3121,0
0,0,1,1,1,28,2791,1
0,1,1,0,0,100,3468,0
1,1,0,0,0,87,1712,0
0,0,1,1,0,110,915,1
1,0,0,0,1,28,3393,1
1,0,1,1,1,66,3134,1
1,1,1,1,1,34,2333,1
1,0,1,0,1,11,2650,1
0,1,1,0,1,76,4545,1
1,1,1,1,1,16,4207,1
0,0,1,1,1,22,4465,1
0,0,0,0,1,28,1643,0
1,1,0,0,1,32,4409,1
1,0,1,1,0,68,2511,1
1,0,0,1,1,58,4444,1
0,0,1,1,1,47,1947,1
0,0,1,1,1,39,4824,1
1,1,0,1,0,38,3783,1
1,1,0,1,0,63,3043,1
0,0,0,0,0,6,4535,0
1,0,1,0,1,120,3513,1
1,0,1,0,0,20,726,0
0,0,1,1,0,94,2519,1
0,1,0,1,0,93,913,1
1,1,0,0,1,78,2958,1
1,1,0,0,1,99,3961,1
1,0,0,0,0,41,2096,0
1,0,0,0,0,37,743,0
1,1,0,0,1,101,1751,1
1,0,0,1,1,95,1632,1
0,0,0,1,1,55,1337,0
0,0,0,0,0,111,584,0
0,1,1,1,1,117,4889,1
0,1,1,0,0,76,4720,0
0,1,0,1,1,77,3746,1
1,1,1,0,1,74,4754,1
1,1,0,0,1,46,3021,1
1,1,0,1,0,90,972,1
1,0,0,0,0,20,1364,0
1,0,1,0,1,57,101,1
0,0,1,0,1,47,2790,1
0,1,0,0,0,64,3121,0
1,1,1,1,1,85,3869,1
0,1,1,0,1,12,3084,1
1,0,1,0,1,70,3257,1
1,1,1,1,1,38,2021,1
1,0,1,0,0,100,1677,0
1,0,0,1,1,116,272,1
1,1,0,1,0,96,1272,1
